priority,product_id,product_name,variant_id,sku / variant_code,current_image_url,issue_type,grouped_family_key,recommended_asset_name,recommended_action
11,6048141c-29c2-4e9b-bb7a-f5369bcb9979,Z850 Zirkonya Elmas Frez,,,,missing_product_image|missing_variant_image,,jota-z850-zirkonya-elmas-frez-elmas-frez.webp,"Prioritize for common search: zirkonya, elmas-frezler; Add product image before manual transparent-background cleanup; Add variant image only if this variant is visually distinct"
12,bd26cf76-7321-4889-93bb-d4d7cbdda81f,Jota 558 Elmas Frez - Mavi Kuşak (Standard) Silindirik Uzun Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/926f9bdc-9ee6-48c7-8ba6-7761d1d53adb/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-558,jota-558-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
13,0da0e71a-9791-4c9a-953f-55960f7e8d99,Jota 558F Elmas Frez - Kırmızı Kuşak (İnce) Silindirik Uzun Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/fd2d7891-7dc7-40c1-8316-adb581d15e93/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-558,jota-558-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
14,dfbc8551-8357-426c-a03e-2485a0e48074,Jota 834 Elmas Frez - Mavi Kuşak (Lamine) Mikro Silindirik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/15dcb609-9be9-41b8-9699-2871a4c0b85d/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-834,jota-834-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
15,2c274b4c-2f17-4d0d-a843-e2196770e31e,Jota 837LG Elmas Frez - Yeşil Kuşak (Kaba) Uzun Silindirik Hızlı Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/ffe061c1-d761-4410-a06c-71ee49372ee9/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-837l,jota-837l-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
16,ff65797d-1f71-4f51-8723-2597f5198219,Jota 850 Elmas Frez - Mavi Kuşak (Standard) İnce Konik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/c5daa154-7eb5-4085-add8-73cbecfe16ca/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-850,jota-850-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
17,fbf133ea-c893-4a3b-84be-6c4fd077bdec,Jota 850F Elmas Frez - Kırmızı Kuşak (İnce) İnce Konik Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/f793987f-cb82-422b-bfd8-2c9d17df3b38/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-850,jota-850-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
18,4f97398b-03b4-472f-8842-a09bca102345,Jota 850G Elmas Frez - Yeşil Kuşak (Kaba) İnce Konik Hızlı Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/28a1913b-ac9f-4a29-8de8-c049f4db287d/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-850,jota-850-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
19,499f5d8e-7606-46a2-9066-206ed3252f82,Jota 852SG Elmas Frez - Siyah Kuşak (Süper Kaba) İğne / İnce Konik Agresif Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/5d90dfdb-6994-4026-a08c-8a14c4c2cc6d/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-852,jota-852-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
20,f72c6590-f4d9-4eb7-9fdd-5efa26af1633,Jota 859EF Elmas Frez - Sarı Extra İnce Uzun İğne Elmas Frez,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/90b5b082-421b-4ecf-b619-9f9ff89da966/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-859e,jota-859e-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
21,c0e0bad7-7773-415f-8ca7-eff9a89245d3,Jota 859L Elmas Frez - Mavi Kuşak (Standard) Extra Uzun İğne Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/a68e66d9-830a-46e6-ab04-9e718cf70d5e/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-859l,jota-859l-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
22,048929f4-ef88-42d1-88cf-f443727ee715,Jota 859LF Elmas Frez - Kırmızı Kuşak (İnce) Extra Uzun İğne Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/3fea96b4-fd6b-4cff-89c5-e6877f4956f1/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-859l,jota-859l-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
23,54695448-bf2d-471b-b49e-d8c255f1d752,Jota 862EF Elmas Frez - Sarı Extra İnce Konik Elmas Frez,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/e156f890-91bc-4d8e-8e88-825064c9074f/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-862e,jota-862e-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
24,3bbd1308-acc4-4688-a0d3-d6cc982179f0,Jota 862F Elmas Frez - Kırmızı Kuşak (İnce) Konik Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/aef654b6-0ebc-4ac8-a372-f6fe2346417d/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-862,jota-862-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
25,beb41dab-e211-4cc9-8ef5-fd2ba01a972f,Jota 862G Elmas Frez - Yeşil Kuşak (Kaba) Konik Hızlı Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/526ad678-1c8c-410a-87c0-5c9bce1f329d/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-862,jota-862-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
26,1893ebf9-f2b3-4fc7-8d55-d4514938c5b2,Jota 863G Elmas Frez - Yeşil Kuşak (Kaba) Alev / Uzun Konik Hızlı Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d5efee33-8458-499f-ab22-6d487de1309a/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-863,jota-863-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
27,8bdc45ac-c7a6-4ace-962f-d3229721db22,Jota GP662 Glaze Prep Zirkonya & Seramik Ayar Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/9a5f6de1-1c45-4d38-9c6f-efd71cc497a7/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-gp662-glaze-prep-zirkonya-seramik-ayar-frezi,jota-gp662-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
28,a98dc42b-5fc3-4469-9a9d-3236471bbd5f,Jota SD661F Diamond Stone Seramik Ayar Taşı,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/5989824f-4ece-47ca-a65f-20f1a473513d/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-sd661-diamond-stone-seramik-ayar-tas,jota-sd661-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
29,87a8fdad-b248-4b9c-98df-323bc651ae11,Jota ZIR9861F Zirkonya Cilalama Ucu (Polisher) - Step 2,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/426309bd-fa80-4bdf-82e7-bf9014a8d959/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-zir9861-zirkonya-cilalama-ucu,jota-zir9861-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
30,430b8a94-c1e3-4218-8b88-9eabbca2e68f,Jota ZIR9861M Zirkonya Cilalama Ucu (Polisher) - Step 1,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d1a8170b-27d3-4e36-8166-b875e6e5290b/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-zir9861-zirkonya-cilalama-ucu,jota-zir9861-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
31,753828ad-d34d-4d8f-b873-17d2b54a6935,Jota ZIR9863F Zirkonya Cilalama Ucu (Polisher) - Step 2,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d3c018cc-e198-411b-95f7-e1ed2f56de3c/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-zir9863-zirkonya-cilalama-ucu,jota-zir9863-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
32,34a66256-1b6c-47c8-972d-8ab962e9f037,Jota ZIR9863M Zirkonya Cilalama Ucu (Polisher) - Step 1,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/5575cfb0-a535-4302-b870-f9a617d376af/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-zir9863-zirkonya-cilalama-ucu,jota-zir9863-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
33,1d1303c8-9883-4cff-95df-c7f86ac1e18e,Jota 881 Elmas Frez - Mavi Kuşak (Standard) Silindirik Düz Uç Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d7810520-94cb-4360-85d3-20b6a5fbd5de/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-881,jota-881-family.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
34,8456358d-2455-4514-9d1d-dfc281b54f86,Jota 881F Elmas Frez - Kırmızı Kuşak (İnce) Silindirik Düz Uç Finishing Frezi,f9becc86-2ca3-4a7a-bfbb-17adba1fa3fc,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/66a122b6-aac1-48c9-80a1-297a3515ed9a/image_1950.webp,likely_non_transparent_or_white_canvas,jota-881,jota-881-f-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, 881f, elmas-frezler; Remove white canvas/background and export transparent WebP"
35,8456358d-2455-4514-9d1d-dfc281b54f86,Jota 881F Elmas Frez - Kırmızı Kuşak (İnce) Silindirik Düz Uç Finishing Frezi,bc06bf73-3c00-4e12-82bc-dd22d07c83fa,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/65fa7a0a-0001-440f-8796-b37432358f2e/image_1950.webp,likely_non_transparent_or_white_canvas,jota-881,jota-881-f-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, 881f, elmas-frezler; Remove white canvas/background and export transparent WebP"
36,f3a8c790-e252-40d8-bf5d-db4dceaafbf9,Jota 881G Elmas Frez - Yeşil Kuşak (Kaba) Silindirik Düz Uç Hızlı Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/4038a0e6-ac16-4c19-85f9-b7623db501af/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-881,jota-881-family.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
37,86603b72-74bb-4377-aa0a-04620f2a1350,Jota 881SG Elmas Frez - Siyah Kuşak (Süper Kaba) Silindirik Düz Uç Agresif Preparasyon Frezi,f09960b3-5b74-40bf-8f6a-5ad14b881364,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/012cddf2-9eb9-43fb-b21d-94d01a07555d/image_1950.webp,likely_non_transparent_or_white_canvas,jota-881,jota-881-sg-black-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, 881sg, elmas-frezler; Remove white canvas/background and export transparent WebP"
38,01dceb19-17ec-4355-9f79-7b50e2d7b78e,Jota Z838L Zirkonya Elmas Frez - Mavi Kuşak (Standard) Zirkonya Uzun Silindirik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/8a1c151f-6e18-4541-b8be-978b699df1d7/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-z838l-zirkonya,jota-z838l-family.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya, elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
39,90cb8d7f-f05e-4749-8121-d55b3073a902,Jota Z850F Zirkonya Elmas Frez - Kırmızı Kuşak (İnce) Zirkonya İnce Konik Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/6aa8e050-7a89-445e-aea0-be88b4fc8da8/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-z850-zirkonya,jota-z850-family.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya, elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
40,f3a8c790-e252-40d8-bf5d-db4dceaafbf9,Jota 881G Elmas Frez - Yeşil Kuşak (Kaba) Silindirik Düz Uç Hızlı Preparasyon Frezi,276282ad-8067-4edb-9479-973dca1ccf3f,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/9e6137fc-2833-484b-ba97-b159d799a80c/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas,jota-881,jota-881-g-green-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP"
41,f3a8c790-e252-40d8-bf5d-db4dceaafbf9,Jota 881G Elmas Frez - Yeşil Kuşak (Kaba) Silindirik Düz Uç Hızlı Preparasyon Frezi,f5c3f77c-6bdd-41ee-b543-e981cd0b0408,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d30db65b-ae89-427f-8353-2efce88eecc4/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas,jota-881,jota-881-g-green-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP"
42,bd26cf76-7321-4889-93bb-d4d7cbdda81f,Jota 558 Elmas Frez - Mavi Kuşak (Standard) Silindirik Uzun Genel Preparasyon Frezi,2e88e9f5-a7b5-4d4b-98b5-3faffabf74ef,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/926f9bdc-9ee6-48c7-8ba6-7761d1d53adb/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-558,jota-558-blue-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
43,0da0e71a-9791-4c9a-953f-55960f7e8d99,Jota 558F Elmas Frez - Kırmızı Kuşak (İnce) Silindirik Uzun Finishing Frezi,43c5b2bc-a425-4d5b-a274-17a830a0e5be,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/fd2d7891-7dc7-40c1-8316-adb581d15e93/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-558,jota-558-f-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
44,dfbc8551-8357-426c-a03e-2485a0e48074,Jota 834 Elmas Frez - Mavi Kuşak (Lamine) Mikro Silindirik Genel Preparasyon Frezi,ec986d0a-ff6b-4220-b894-2579dd11718c,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/15dcb609-9be9-41b8-9699-2871a4c0b85d/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-834,jota-834-blue-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
